ID;Ano;Extrato_Ano;Variavel_Ano;Niveis_Ano;Percentual_Ano
88;2018;Area Rural-2;Padrao Construtivo;Outro;6
89;2019;Area Rural-2;Padrao Construtivo;Outro;5.6
90;2020;Area Rural-2;Padrao Construtivo;Outro;2
91;2012;Area Urbana-1;Padrao Construtivo;Madeira;96.3
92;2013;Area Urbana-1;Padrao Construtivo;Madeira;96.8
93;2014;Area Urbana-1;Padrao Construtivo;Madeira;93
94;2015;Area Urbana-1;Padrao Construtivo;Madeira;93.7
95;2016;Area Urbana-1;Padrao Construtivo;Madeira;97.2
96;2017;Area Urbana-1;Padrao Construtivo;Madeira;95.5
97;2018;Area Urbana-1;Padrao Construtivo;Madeira;96.4
98;2019;Area Urbana-1;Padrao Construtivo;Madeira;96.7
99;2020;Area Urbana-1;Padrao Construtivo;Madeira;100
100;2012;Area Urbana-1;Padrao Construtivo;Tijolo;3.7
101;2013;Area Urbana-1;Padrao Construtivo;Tijolo;4.2
102;2014;Area Urbana-1;Padrao Construtivo;Tijolo;1.2
103;2015;Area Urbana-1;Padrao Construtivo;Tijolo;3.8
104;2016;Area Urbana-1;Padrao Construtivo;Tijolo;0.9
105;2017;Area Urbana-1;Padrao Construtivo;Tijolo;0
106;2018;Area Urbana-1;Padrao Construtivo;Tijolo;0
107;2019;Area Urbana-1;Padrao Construtivo;Tijolo;0.8
108;2020;Area Urbana-1;Padrao Construtivo;Tijolo;0
109;2012;Area Urbana-1;Padrao Construtivo;Adobe;3.7
110;2013;Area Urbana-1;Padrao Construtivo;Adobe;4.2
111;2014;Area Urbana-1;Padrao Construtivo;Adobe;1.2
112;2015;Area Urbana-1;Padrao Construtivo;Adobe;3.8
113;2016;Area Urbana-1;Padrao Construtivo;Adobe;0
114;2017;Area Urbana-1;Padrao Construtivo;Adobe;0.9
115;2018;Area Urbana-1;Padrao Construtivo;Adobe;0
116;2019;Area Urbana-1;Padrao Construtivo;Adobe;0
117;2020;Area Urbana-1;Padrao Construtivo;Adobe;0
